四个约定：1.不妄做评判2.不受别人影响3.不作假设4.行动、尽力、投入《让心自由》 ​​​
你是唯一有资格成为自己生活的鉴赏家的人。一旦你怀着兴趣、幽默感和好奇接受了这个挑战，你会发现你的生活在以最奇妙的方式发生改变。你会拥有最有价值的精华，怀着对家庭生活的心满意足感度过每一天。你遇到的人会好奇关于你的事情…… ​​​
当消极的事情发生，改变了你一天的通常轨迹，各个方面的事情都似乎要变糟的时候，暂缓一下吧。“事情要变糟”是一个信号，你需要改变自己，让这一天有一个新的节拍。你如何改变这种境况，让自己重新喜悦起来？什么能让你心怀感激？要做到改变，你必须不再着迷于原先的设想。顺其自然，拥抱这全新的一天 ​​​ ...展开
信息大爆炸的当代，了解当前发生的事情，并知道世界将要发生什么事情，是很了不起的。但要小心，别让自己被每天的负面新闻干扰并影响到内心。练习如何处理这些，不被情绪控制。要知悉天下大事，但也得注意媒体常会用“忧虑策略”来吸引受众。在阅读的时候，试着把倾向过滤掉，了解信息到底是什么。如 ​​​ ...展开
尽量不要匆匆忙忙地过日子。要学会活在当下。心有旁骛，乐趣便会悄然消逝。即使你现在的生活并不顺心，也要尽力保持清醒，积极加以改变。欲速则不达，美好的理想不能一蹴而就。就像爱默生巧妙的譬喻：“生活是一段旅程，而不是一个目标。”当你学会深思熟虑去过你的人生，你的心灵就会敞开，就能不停 ​​​ ...展开
学会从简单的日常生活中获得快乐，真的能帮助你实现幸福人生。如果你放慢生活的节奏，从寻常点滴中找到乐趣，你就会对人生心满意足，获得生活的完美平衡，就不会再有胡乱花钱、不良囤积、暴饮暴食等坏习惯。你就会活在当下，和家人相处融洽。从每日重复的日常琐事中获得小小的乐趣，那么这无止境的 ​​​ ...展开
“幸福不是得你所想，而是想你所得。” ​​​
◇ 时间贫困会产生负面影响，它会损害健康（不太可能锻炼身体）、扼制善念（不太可能帮助别人）、削弱自信（对失败的恐惧胜过对成功的乐观），以及降低幸福感。◇ 时间贫困是一种主观上的感觉，你可以通过做一些事情让自己感觉时间变多了。◇ 为了增加你的时间充裕感，把时间花在那些能使你增加自 ​​​ ...展开
手机短视频正在毒害祖国花朵啊……地铁上看一个8.9岁小女孩一直刷手机旁边不知是妈妈还是奶奶要拿回手机她一直抢两人互相打手抢来抢去，直到下车……无奈感叹❗️ ​​​
整个宇宙里，只三种事：我的事，你的事和天的事。如果你正在过你的生活，我的心却跑去管你的生活，那么谁在活我的人生呢？既然我心里忍不住跑去管你的事，就不可能管我自己的事，我便和自己分裂了，无怪乎我的人生处处碰壁。当我自以为知道什么对别人最好时，其实我早已过了那条界限。即使以爱为借 ​​​ ...展开
