你望向她的时候 世上不止有一个月亮  //@粗莓日记://@粗莓日记://@慕馑:【317】助力
夏日里的遗憾，一定会被秋风温柔化解 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你眼中倒映的星河灿烂，是我不曾见过的世外桃源 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
这温吞世俗人间烟火，只有你是我的江河湖泊 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
遇见你之前，我没想过追星，遇见你之后，我没想过追其他的星 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
我携漫天星辰以赠你，仍觉漫天星辰不及你 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
我偷偷亲了一下风，风吹在你的脸上 你红了脸颊，映红了半边晚霞 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
初见你惊鸿一瞥，但是遇见你此后，无人让我心动 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
我喜欢春天的树夏天的花秋天的黄叶冬天的阳光和每天的你 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你配得上这世间所有的美 我将携满天星辰向你涌来 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
我从冰淇淋中偷出了夏天 也想在你眼中窃取爱意 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
世界上所有的惊喜和好运，都是你积攒的人品和善良 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
星星永远是星星，当你触碰它的时候不是它坠落，而是你缺氧 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
感谢你精彩耀眼，做我平淡岁月里的星辰 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
日出东方而落于西我爱你有始无终   我会陪你一年又一年 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
落叶之秋，微风徐来，所有美好不期而至 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
从遇见你的那天起，我所走的每一步都是为了更接近你 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
当荧光棒变拐杖 你依旧是我最初的信仰 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
温柔的情话微甜，你是星河万千，是草木经流，是我能想到的一切美好 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
人世间有百媚千红，唯独你是我情之所钟 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你在台上闪闪发光，我在台下热泪盈眶✨ //@粗莓日记://@粗莓日记://@慕馑:【317】助力
其实不必为我们回头，你只管做自己那颗最亮的星星就好，我只是个心甘情愿的追光者✨ //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你想要的一切终会抵达，终有一天你会在自己热爱的世界里闪闪发光。 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
这温吞世俗人间烟火，只有你是我的江河湖泊 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
希望你的心情像天上的星星，终年闪耀，永不褪色 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
花店不是为了花才开的，但我却是为了你才来 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
做颗星星，有棱有角，还会发光。 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
温柔是世间的宝藏，而你是世间的温柔 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你是藏在云层里的月亮，也是我穷极一生寻找的宝藏 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
人间烟火   山河阔远    无一是你   无一不是你 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你是降落在人间的天使👼愿你目光所过之处皆是浩瀚星辰！ //@粗莓日记://@粗莓日记://@慕馑:【317】助力
我在星光里为你呐喊，最美好的岁月都与你有关！ //@粗莓日记://@粗莓日记://@慕馑:【317】助力
你是天上星，我是尘世间那个追星的人，我乐此不疲甚至翻山越岭，只为看你眨眨眼睛~ //@粗莓日记://@粗莓日记://@慕馑:【317】助力
不假思索的怦然心动，不可自拔的白日做梦 //@粗莓日记://@粗莓日记://@慕馑:【317】助力
